,timestamp,elapsedtime, x, y,description,r1_focusedAttention,r2_focusedAttention,focusedAttention,r1_clearGoals,r2_clearGoals,clearGoals,r1_clearCutFeedback,r2_clearCutFeedback,clearCutFeedback,r1_pleasure,r2_pleasure,pleasure,allEngagement
0,22 Jun 2021 5:46:55pm:799,517300,354,390,note moved up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22 Jun 2021 5:46:58pm:319,519800,355,424,note moved down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,22 Jun 2021 5:47:01pm:570,523100,360,392,note moved up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,22 Jun 2021 5:47:03pm:68,524600,362,394,note moved up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,22 Jun 2021 5:47:11pm:684,533200,102,116,play clicked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,22 Jun 2021 5:47:13pm:685,535200,125,133,playing stoppped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,22 Jun 2021 5:47:16pm:781,538300,350,430,note moved down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,22 Jun 2021 5:47:17pm:838,539400,350,430,note moved down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,22 Jun 2021 5:47:19pm:177,540700,86,143,play clicked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,22 Jun 2021 5:47:21pm:180,542700,362,428,playing stoppped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,22 Jun 2021 5:47:22pm:698,544200,397,396,note picker plus selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,22 Jun 2021 5:47:25pm:253,546800,421,452,added a quaver note,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,22 Jun 2021 5:47:42pm:397,563900,396,432,note moved down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,22 Jun 2021 5:47:44pm:51,565600,407,405,note moved up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,22 Jun 2021 5:47:44pm:692,566200,400,391,note moved up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,22 Jun 2021 5:47:48pm:899,570400,66,113,play clicked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,22 Jun 2021 5:47:50pm:900,572400,213,225,playing stoppped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,22 Jun 2021 5:47:56pm:99,577600,424,398,note picker plus selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,22 Jun 2021 5:47:57pm:540,579100,444,419,added a quaver note,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,22 Jun 2021 5:47:59pm:812,581300,428,423,note moved down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,22 Jun 2021 5:48:01pm:905,583400,432,391,note moved up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22 Jun 2021 5:48:03pm:637,585200,112,104,play clicked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22 Jun 2021 5:48:05pm:638,587200,113,119,playing stoppped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,22 Jun 2021 5:48:08pm:711,590200,308,399,twofourbar start drag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,22 Jun 2021 5:48:09pm:489,591000,360,358,twofourbar end drag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,22 Jun 2021 5:48:11pm:501,593000,373,348,twofourbar start drag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,22 Jun 2021 5:48:13pm:322,594800,66,749,twofourbar end drag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,22 Jun 2021 5:48:13pm:323,594800,66,748,twofourbar was deleted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,22 Jun 2021 5:48:16pm:13,597500,164,54,basic tab selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,22 Jun 2021 5:48:19pm:591,601100,613,442,fourfourbar block added,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,22 Jun 2021 5:48:20pm:917,602400,459,440,fourfourbar start drag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,22 Jun 2021 5:48:23pm:414,604900,326,391,fourfourbar end drag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,22 Jun 2021 5:48:23pm:414,604900,326,391,connection made between twofourbar and fourfourbar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,22 Jun 2021 5:48:24pm:462,606000,358,399,note picker plus selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,22 Jun 2021 5:48:27pm:758,609300,404,459,added a minim note,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,22 Jun 2021 5:48:30pm:19,611500,417,401,note moved up,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,22 Jun 2021 5:48:31pm:357,612900,398,427,note moved down,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,22 Jun 2021 5:48:34pm:945,616500,480,408,note picker plus selected,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,22 Jun 2021 5:48:36pm:915,618400,522,456,added a crotchet note,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,22 Jun 2021 5:48:40pm:931,622500,498,402,note moved up,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,22 Jun 2021 5:48:44pm:927,626400,497,395,note moved up,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,22 Jun 2021 5:48:45pm:487,627000,497,395,note moved up,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,22 Jun 2021 5:48:46pm:860,628400,497,395,note moved up,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,22 Jun 2021 5:48:49pm:458,631000,500,436,note moved down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,22 Jun 2021 5:48:51pm:146,632700,66,126,play clicked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,22 Jun 2021 5:48:54pm:147,635700,454,373,playing stoppped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,22 Jun 2021 5:48:56pm:535,638100,484,430,note moved down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,22 Jun 2021 5:48:58pm:810,640300,540,395,note picker plus selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,22 Jun 2021 5:49:00pm:912,642400,575,417,added a crotchet note,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,22 Jun 2021 5:49:03pm:50,644600,571,388,note moved up,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,22 Jun 2021 5:49:06pm:659,648200,25,114,play clicked,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,22 Jun 2021 5:49:09pm:661,651200,246,257,playing stoppped,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,22 Jun 2021 5:49:13pm:253,654800,376,397,note moved up,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
