age,gender,musicLessonConfidence,musicNotationConfidence,blockBasedConfidence,computerConfidence,musicSoftwareConfidence,extraPressureRecorded,parentInRoom,noteEdit,navigate,playback,building,paramChange,pleasure,clearGoals,focusedAttention,clearCutFeedback,engagement
9,Female,2,2,4,4,1,2,1,0.5,0.0833333333333333,0.0,0.4166666666666667,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.2727272727272727,0.0,0.7272727272727273,0.0,False,True,False,False,Engagement
9,Female,2,2,4,4,1,2,1,0.4285714285714285,0.0,0.0,0.5714285714285714,0.0,False,True,False,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.1666666666666666,0.1111111111111111,0.2777777777777778,0.4444444444444444,False,True,False,False,Engagement
9,Female,2,2,4,4,1,2,1,0.4,0.0,0.0,0.6,0.0,False,True,False,False,Engagement
9,Female,2,2,4,4,1,2,1,0.1,0.2,0.0,0.7,0.0,False,False,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.0,True,False,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.5454545454545454,0.0909090909090909,0.3636363636363636,0.0,True,False,False,False,Engagement
9,Female,2,2,4,4,1,2,1,0.7,0.3,0.0,0.0,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.40625,0.0625,0.0,0.1875,0.34375,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.6666666666666666,0.0476190476190476,0.0,0.2857142857142857,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,False,False,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.238095238095238,0.0,0.1428571428571428,0.6190476190476191,0.0,True,True,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.1428571428571428,0.0,0.8571428571428571,0.0,True,True,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.3529411764705882,0.0,0.1764705882352941,0.4705882352941176,0.0,False,True,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0909090909090909,0.4545454545454545,0.1818181818181818,0.2727272727272727,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.5555555555555556,0.0,0.4444444444444444,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.6666666666666666,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.0,False,False,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.4,0.2,0.2,0.2,0.0,False,False,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.8,0.0,0.0,0.2,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.7142857142857143,0.0,0.2857142857142857,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.3333333333333333,0.1666666666666666,0.5,0.0,False,True,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.0,0.1176470588235294,0.6470588235294118,0.2352941176470588,False,True,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.4583333333333333,0.0416666666666666,0.0,0.4166666666666667,0.0833333333333333,False,False,False,False,No Engagement
